# ,Namn            ,Pris,Innehåll
- ,Lappland        ,85  ,tomat; ost; renkött; kantareller; färska tomater; lök
- ,Samiskt         ,85  ,tomat; ost; renkött; gorgonzola; salami
- ,Gellan          ,85  ,tomat; ost; renskav; gorgonzola; oliver
- ,Gazal           ,85  ,tomat; ost; renskav; paprika; lök; färska tomater
- ,Salsarulle      ,65  ,ost; sallad; tomater; lök; gurka; peperoni; salsa (?)
- ,Salamirulle     ,65  ,ost; sallad; tomater; lök; gurka; peperoni; sås; salami
- ,Kebabrulle      ,70  ,ost; sallad; tomater; lök; gurka; peperoni; sås; kebab
- ,Oxfilerulle     ,80  ,ost; sallad; tomater; lök; gurka; peperoni; sås; oxfile
- ,Skinkrulle      ,65  ,ost; sallad; tomater; lök; gurka; peperoni; sås; skinka
- ,Kycklingrulle   ,70  ,ost; sallad; tomater; lök; gurka; peperoni; sås; kyckling
- ,Renskavsrulle   ,80  ,ost; sallad; tomater; lök; gurka; peperoni; sås; renskav
- ,Oxfile          ,120 ,oxfile; stekt svamp; lök; pommes; bearnaisesås
- ,Rödspätta       ,85  ,pommes; remoladsås; räkor; citron
- ,Grillbiff       ,80  ,pommes; bearnaisesås
- ,Lövbit          ,80  ,pommes; bearnaisesås
- ,Kycklingfile    ,95  ,pommes; bearnaisesås
- ,Schnitzel       ,80  ,pommes; bearnaisesås; citron
- ,Nachosallad     ,80  ,ost; köttfärs; nachochips; tacosås; creme fraiche; guacamole; grönsaker
- ,Nachotallrik    ,80  ,ost; köttfärs; strips; tacosås; creme fraiche; guacamole; grönsaker
1 ,Margareta       ,65  ,tomat; ost
2 ,Vesuvio         ,65  ,tomat; ost; skinka
3 ,Bolognese       ,65  ,tomat; ost; köttfärs
4 ,Altorno         ,65  ,tomat; ost; tonfisk
5 ,Catarina        ,65  ,tomat; ost; räkor
6 ,Capricciosa     ,65  ,tomat; ost; skinka; champinjoner
7 ,Bussola         ,65  ,tomat; ost; skinka; räkor
8 ,Marinara        ,65  ,tomat; ost; räkor; musslor
9 ,Hawaii          ,65  ,tomat; ost; skinka; ananas
10,Blecko          ,65  ,tomat; ost; champinjoner; räkor
11,Bambino         ,65  ,tomat; ost; skinka; tonfisk
12,Belinda         ,65  ,tomat; ost; bacon; lök; ägg
13,Mamma Mia       ,65  ,tomat; ost; skinka; bacon; lök
14,Roma            ,65  ,tomat; ost; skinka; köttfärs; ananas
15,Milano          ,65  ,tomat; ost; skinka; champinjoner; ananas
16,Manotova        ,65  ,tomat; ost; skinka; ananas; banan; curry
17,Alaska          ,65  ,tomat; ost; tonfisk; räkor; musslor
18,La Bamba        ,65  ,tomat; ost; räkor; ananas; banan; curry
19,Jamaica         ,65  ,tomat; ost; skinka; räkor; salami; lök
20,Disco           ,65  ,tomat; ost; skinka; räkor; köttfärs
21,Maxim           ,65  ,tomat; ost; skinka; räkor; champinjoner
22,Hot Pepper      ,65  ,tomat; ost; salami; peperoni; purjolök (stark)
23,Azteca          ,65  ,tomat; ost; skinka; tacokrydda; tacosås; jalapeno
24,Mexicana        ,65  ,tomat; ost; köttfärs; peperoni; lök; stark krydda
25,Alexandra       ,65  ,tomat; ost; köttfärs; tacokrydda; tacosås; lök; vitlök
26,Johanna         ,65  ,tomat; ost; tonfisk; banan; curry
27,John Blund      ,70  ,tomat; ost; skinka; champinjoner; bacon; lök; ägg
28,La Mare         ,70  ,tomat; ost; skinka; räkor; ananas; champinjoner
29,Quattro Stagioni,70  ,tomat; ost; skinka; champinjoner; räkor; musslor
30,Vegetariana     ,70  ,tomat; ost; champinjoner; paprika; oliver; färska tomater; ananas; lök
31,Italia          ,70  ,tomat; ost; skinka; köttfärs; salami; lök (stark)
32,Olympia         ,70  ,tomat; ost; salami; lök; paprika; färska tomater; peperoni; vitlök
33,Havet           ,70  ,tomat; ost; tonfisk; räkor; musslor; krabfish
34,Maestro         ,70  ,tomat; ost; skinka; salami; bacon; lök; champinjoner; vitlök
35,Pizza Helena    ,70  ,tomat; ost; skinka; kebab; lök; färska tomater
36,NY Times        ,70  ,tomat; ost; skinka; bacon; köttfärsås; curry
37,Santana         ,70  ,tomat; ost; skinka; salami; vitlök; lök; färska tomater
38,Stålarbetare    ,70  ,tomat; ost; skinka; lök; bacon; champinjoner; vitlök (halvinbakad)
39,Kycklingpizza   ,80  ,tomat; ost; lök; kyckling; peperoni; paprika
40,Ciao Ciao       ,80  ,tomat; ost; oxfile; champinjoner; lök; vitlök; bearnaisesås
41,Venedig         ,80  ,tomat; ost; skinka; oxfile; bearnaisesås
42,Paris           ,80  ,tomat; ost; oxfile; kantareller; lök; färska tomater; bearnaisesås
43,Vidsel Special  ,80  ,tomat; ost; oxfile; champinjoner; färska tomater; bearnaisesås
44,Gourmet         ,80  ,tomat; ost; oxfile; kantareller; bearnaisesås
45,Venezia         ,80  ,tomat; ost; oxfile; bernaisesås
46,Acapulco        ,80  ,tomat; ost; oxfile; champinjoner; lök; vitlök; tacokrydda; jalapeno; tacosås
47,Silvana         ,80  ,tomat; ost; oxfile; bacon; räkor; bearnaisesås
48,Gorgonzola      ,80  ,tomat; ost; gorgonzolaost; oxfile; lök; färska tomater
49,Selma Special   ,80  ,tomat; ost; oxfile; köttfärssås; ananas; champinjoner; bearnaisesås
50,Calzone         ,65  ,tomat; ost; skinka
51,Calzone Rossi   ,65  ,tomat; ost; tonfisk; räkor
52,Calzone Vardi   ,65  ,tomat; ost; skinka; salami
53,Calzoncino      ,65  ,tomat; ost; skinka; champinjoner
54,Kebab Calzone   ,70  ,tomat; ost; kebabkött; jalapeno
55,Calzone Special ,80  ,tomat; ost; skinka; räkor; champinjoner
56,Apollo          ,80  ,tomat; ost; skinka (dubbel deg)
- ,Calzone Hot     ,65  ,tomat; ost; salami; paprika; lök; färsk vitlök; stark
- ,Calzone Classic ,70  ,tomat; ost; skinka; köttfärs; paprika; färsk vitlök
- ,Tefat Calzone   ,75  ,tomat; ost; skinka; champinjoner (dubbel deg)
- ,Calzoneazez     ,75  ,tomat; ost; oxfile; champinjoner; paprika; lök; beasås
- ,Hamburgare 150g ,50  ,-
- ,Ostburgare 150g ,55  ,-
- ,Hamburgare 90g  ,45  ,-
- ,Ostburgare 90g  ,50  ,-
- ,Hamburgare 45g  ,35  ,-
- ,Ostburgare 45g  ,40  ,-
- ,Barnmål         ,50  ,pommes
- ,Skrovmål        ,65  ,pommes
- ,Superskrovmål   ,80  ,pommes
- ,Dunderskrovmål  ,90  ,pommes
- ,Jättemål        ,105 ,pommes
- ,Grillbiff       ,80  ,pommes
- ,Lövbit          ,80  ,pommes
- ,Oxfiletallrik   ,120 ,pommes
- ,Pommes frites   ,30  ,-
- ,Kebabpiza       ,70  ,tomat; ost; lök; champinjoner; kebabkött; peperoni; sås
- ,Kebab med bröd  ,70  ,kebabkött; sallad; tomat; lök; peperoni; gurka; sås
- ,Kebabrulle      ,70  ,kebabkött; sallad; tomat; lök; peperoni; gurka; sås
- ,Kebabtallrik    ,70  ,kebabkött; sallad; tomat; lök; peperoni; gurka; sås
- ,Extra sås       ,7   ,-
- ,Räksallad       ,70  ,isbergssallad; tomat; gurka; majs; champinjoner; räkor; ananas; ost
- ,Kycklingsallad  ,70  ,isbergssallad; tomat; gurka; majs; champinjoner; kyckling; ananas; ost
- ,Skinksallad     ,70  ,isbergssallad; tomat; gurka; majs; champinjoner; skinka; ananas; ost
- ,Tonfisksallad   ,70  ,isbergssallad; tomat; gurka; tonfisk; lök; citron; ost
- ,Grekisk sallad  ,70  ,isbergssallad; tomat; gurka; fetaost; lök; paprika; oliver
- ,Skaldjurssallad ,70  ,isbergssallad; tomat; gurka; räkor; musslor; citron; oliver; ost; krabfish
- ,Kebabsallad     ,70  ,isbergssallad; tomat; gurka; lök; kebabkött; ost
- ,Husets sallad   ,70  ,isbergssallad; tomat; gurka; majs; champinjoner; räkor; skinka; ananas; ost
